t/s	x/m	y/m
7,38	8,065	8,798
7,40	8,044	8,814
7,42	8,023	8,830
7,44	8,002	8,845
7,46	7,981	8,861
7,48	7,959	8,877
7,50	7,938	8,892
7,52	7,915	8,908
7,54	7,893	8,923
7,56	7,870	8,939
7,58	7,847	8,954
7,60	7,824	8,970
7,62	7,801	8,985
7,64	7,777	9,001
7,66	7,753	9,016
7,68	7,729	9,031
7,70	7,704	9,047
7,72	7,679	9,062
7,74	7,654	9,077
7,76	7,629	9,093
7,78	7,603	9,108
7,80	7,578	9,123
7,82	7,551	9,138
7,84	7,525	9,154
7,86	7,498	9,169
7,88	7,471	9,184
7,90	7,444	9,199
7,92	7,417	9,214
7,94	7,389	9,229
7,96	7,361	9,244
7,98	7,333	9,259
8,00	7,304	9,275
8,02	7,275	9,290
8,04	7,246	9,305
8,06	7,217	9,320
8,08	7,187	9,334
8,10	7,157	9,349
8,12	7,127	9,364
8,14	7,096	9,379
8,16	7,065	9,394
8,18	7,034	9,409
8,20	7,003	9,424
8,22	6,971	9,439
8,24	6,940	9,453
8,26	6,907	9,468
8,28	6,875	9,483
8,30	6,842	9,498
8,32	6,809	9,512
8,34	6,776	9,527
8,36	6,742	9,542
8,38	6,708	9,556
8,40	6,674	9,571
8,42	6,640	9,585
8,44	6,605	9,600
8,46	6,570	9,615
8,48	6,535	9,629
8,50	6,500	9,644
8,52	6,464	9,658
8,54	6,428	9,673
8,56	6,391	9,687
8,58	6,355	9,702
8,60	6,318	9,716
8,62	6,280	9,730
8,64	6,243	9,745
8,66	6,205	9,759
8,68	6,167	9,773
8,70	6,128	9,788
8,72	6,090	9,802
8,74	6,051	9,816
8,76	6,012	9,831
8,78	5,972	9,845
8,80	5,932	9,859
8,82	5,892	9,873
8,84	5,852	9,887
8,86	5,811	9,902
8,88	5,770	9,916
8,90	5,729	9,930
8,92	5,687	9,944
8,94	5,645	9,958
8,96	5,603	9,972
8,98	5,561	9,986
9,00	5,518	10,000
9,02	5,475	10,014
9,04	5,432	10,028
9,06	5,388	10,042
9,08	5,344	10,056
9,10	5,300	10,070
9,12	5,255	10,084
9,14	5,211	10,098
9,16	5,166	10,111
9,18	5,120	10,125
9,20	5,074	10,139
9,22	5,029	10,153
9,24	4,982	10,167
9,26	4,936	10,180
9,28	4,889	10,194
9,30	4,842	10,208
9,32	4,794	10,221
9,34	4,746	10,235
9,36	4,698	10,249
9,38	4,650	10,262
9,40	4,601	10,276
9,42	4,552	10,290
9,44	4,503	10,303
9,46	4,454	10,317
9,48	4,404	10,330
9,50	4,354	10,344
9,52	4,303	10,357
9,54	4,252	10,371
9,56	4,201	10,384
9,58	4,150	10,398
9,60	4,098	10,411
9,62	4,046	10,424
9,64	3,994	10,438
9,66	3,941	10,451
9,68	3,888	10,465
9,70	3,835	10,478
9,72	3,782	10,491
9,74	3,728	10,504
9,76	3,674	10,518
9,78	3,619	10,531
9,80	3,564	10,544
9,82	3,509	10,557
9,84	3,454	10,571
9,86	3,398	10,584
9,88	3,342	10,597
9,90	3,286	10,610
9,92	3,230	10,623
9,94	3,173	10,636
9,96	3,115	10,649
9,98	3,058	10,662
10,00	3,000	10,675
10,02	2,942	10,688
10,04	2,883	10,701
10,06	2,825	10,714
10,08	2,765	10,727
10,10	2,706	10,740
10,12	2,646	10,753
10,14	2,586	10,766
10,16	2,526	10,779
10,18	2,465	10,792
10,20	2,404	10,805
10,22	2,343	10,818
10,24	2,281	10,830
10,26	2,219	10,843
10,28	2,157	10,856
10,30	2,095	10,869
10,32	2,032	10,881
10,34	1,969	10,894
10,36	1,905	10,907
10,38	1,841	10,920
10,40	1,777	10,932
10,42	1,713	10,945
10,44	1,648	10,957
10,46	1,583	10,970
10,48	1,517	10,983
10,50	1,452	10,995
10,52	1,385	11,008
10,54	1,319	11,020
10,56	1,252	11,033
10,58	1,185	11,045
10,60	1,118	11,058
10,62	1,050	11,070
10,64	0,982	11,083
10,66	0,914	11,095
10,68	0,845	11,107
10,70	0,776	11,120
10,72	0,707	11,132
10,74	0,637	11,145
10,76	0,567	11,157
10,78	0,497	11,169
10,80	0,426	11,182
10,82	0,355	11,194
10,84	0,284	11,206
10,86	0,212	11,218
10,88	0,141	11,230
10,90	0,068	11,243
10,92	-0,004	11,255
10,94	-0,077	11,267
10,96	-0,151	11,279
10,98	-0,224	11,291
11,00	-0,298	11,303
11,02	-0,372	11,316
11,04	-0,447	11,328
11,06	-0,522	11,340
